"~id","~labels","aliases","name","id","type"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:0","ORG;ZEntity","['AirAsia Zest','Asian Spirit and Zest Air','Zest Airways','Inc.']","AirAsia Zest","AirAsia Zest::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:1","LOC;ZEntity","['Ninoy Aquino International Airport']","Ninoy Aquino International Airport","Ninoy Aquino International Airport::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","LOC;ZEntity","['Pasay City']","Pasay City","Pasay City::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","LOC;ZEntity","['Metro Manila']","Metro Manila","Metro Manila::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOC;ZEntity","['Filipino','Philippines','Republic of the Philippines']","Philippines","Philippines::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:5","LOC;ZEntity","['Manila']","Manila","Manila::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:6","LOC;ZEntity","['Cebu']","Cebu","Cebu::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:9","ORG;ZEntity","['Philippines AirAsia']","Philippines AirAsia","Philippines AirAsia::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:10","ORG;ZEntity","['Asian Spirit']","Asian Spirit","Asian Spirit::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:11","ORG;ZEntity","['CAAP','Civil Aviation Authority of the Philippines']","Civil Aviation Authority of the Philippines","Civil Aviation Authority of the Philippines::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:12","ORG;ZEntity","['Zest Air']","Zest Air","Zest Air::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:14","ORG;ZEntity","['AirAsia']","AirAsia","AirAsia::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:15","ORG;ZEntity","['AirAsia Philippines']","AirAsia Philippines","AirAsia Philippines::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:16","TIME;ZEntity","['January 2016','March 2016']","January 2016","January 2016::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:19","LOC;ZEntity","['Indian Ocean']","Indian Ocean","Indian Ocean::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:20","LOC;ZEntity","['Atlantic','Atlantic Basin']","Atlantic","Atlantic::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:21","LOC;ZEntity","['Pacific Oceans']","Pacific Oceans","Pacific Oceans::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:22","LOC;ZEntity","['Caribbean']","Caribbean","Caribbean::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:24","LOC;ZEntity","['Black Sea']","Black Sea","Black Sea::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:25","LOC;ZEntity","['Gulf of Mexico']","Gulf of Mexico","Gulf of Mexico::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:26","LOC;ZEntity","['Red Sea']","Red Sea","Red Sea::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:27","LOC;ZEntity","['Norway','Norwegian','Norwegians']","Norwegian","Norwegian::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:28","LOC;ZEntity","['Arctic']","Arctic","Arctic::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:29","PER;ZEntity","['Bergqvist','Niklas Bergqvist']","Bergqvist","Bergqvist::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:30","TIME;ZEntity","['6 October 1962']","6 October 1962","6 October 1962::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:31","LOC;ZEntity","['Stockholm']","Stockholm","Stockholm::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:32","LOC;ZEntity","['Sweden','Swedish']","Swedish","Swedish::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:33","TIME;ZEntity","['1984','November 1984']","1984","1984::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:34","MISC;ZEntity","['Synthpop']","Synthpop","Synthpop::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:35","ORG;ZEntity","['Shanghai']","Shanghai","Shanghai::ORG","ORG"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:37","MISC;ZEntity","['Ballerina']","Ballerina","Ballerina::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:38","LOC;ZEntity","['Europe','European']","Europe","Europe::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:40","PER;ZEntity","['Harpo']","Harpo","Harpo::PER","PER"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:42","TIME;ZEntity","['2015','8 January 2015','9 January 2015','Christmas Day 2015','December 2015','February 20','2015','June 2','2015']","2015","2015::TIME","TIME"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:43","MISC;ZEntity","['Tracks of Sweden']","Tracks of Sweden","Tracks of Sweden::MISC","MISC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:45","LOC;ZEntity","['Pacific Fair']","Pacific Fair","Pacific Fair::LOC","LOC"
"4:94d2b4d1-0616-4f97-90b3-3538986833d7:46","LOC;ZEntity","['Broadbeach Waters']","Broadbeach Waters","Broadbeach Waters::LOC","LOC"
