"~id","~start_node_id","~end_node_id","~relationship_type","split","evidence","sentence_id","evidence_source","confidence","document","is_revised","relation_name","relation_id"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1157427303257473024","4:94d2b4d1-0616-4f97-90b3-3538986833d7:0","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","HEADQUARTERS_LOCATION","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","headquarters location","P159"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155176602955415552","4:94d2b4d1-0616-4f97-90b3-3538986833d7:0","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['In 2013 ','the airline became an affiliate of Philippines AirAsia operating their brand separately .','The airline was founded as Asian Spirit ','the first airline in the Philippines to be run as a cooperative .','The airline was merged into AirAsia Philippines in January 2016 .']","['2','4','7']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1152925902653358080","4:94d2b4d1-0616-4f97-90b3-3538986833d7:0","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['In 2013 ','the airline became an affiliate of Philippines AirAsia operating their brand separately .','The airline was founded as Asian Spirit ','the first airline in the Philippines to be run as a cooperative .','The airline was merged into AirAsia Philippines in January 2016 .']","['2','4','7']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155176602955415553","4:94d2b4d1-0616-4f97-90b3-3538986833d7:1","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:6924288825128648706","4:94d2b4d1-0616-4f97-90b3-3538986833d7:1","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1157429502280728577","4:94d2b4d1-0616-4f97-90b3-3538986833d7:1","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","inferred_cooccurrence",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155177702467043329","4:94d2b4d1-0616-4f97-90b3-3538986833d7:1","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .','Its main base was Ninoy Aquino International Airport ','Manila .']","['0','3']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1155176602955415554","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","COUNTRY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","country","P17"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1157429502280728578","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","4:94d2b4d1-0616-4f97-90b3-3538986833d7:3","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
"5:94d2b4d1-0616-4f97-90b3-3538986833d7:1164184901721784322","4:94d2b4d1-0616-4f97-90b3-3538986833d7:2","4:94d2b4d1-0616-4f97-90b3-3538986833d7:4","LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY","train_revised","['Zest Airways ','Inc. operated as AirAsia Zest ( formerly Asian Spirit and Zest Air ) ','was a low - cost airline based at the Ninoy Aquino International Airport in Pasay City ','Metro Manila in the Philippines .']","['0']","annotated",1,"AirAsia Zest","true","located in the administrative territorial entity","P131"
