id,name,type,aliases
AirAsia Zest::ORG,AirAsia Zest,ORG,"[""AirAsia Zest"", ""Asian Spirit and Zest Air"", ""Zest Airways, Inc.""]"
Ninoy Aquino International Airport::LOC,Ninoy Aquino International Airport,LOC,"[""Ninoy Aquino International Airport""]"
Pasay City::LOC,Pasay City,LOC,"[""Pasay City""]"
Metro Manila::LOC,Metro Manila,LOC,"[""Metro Manila""]"
Philippines::LOC,Philippines,LOC,"[""Filipino"", ""Philippines"", ""Republic of the Philippines""]"
Manila::LOC,Manila,LOC,"[""Manila""]"
Cebu::LOC,Cebu,LOC,"[""Cebu""]"
24::NUM,24,NUM,"[""24""]"
2013::TIME,2013,TIME,"[""13 October 2013"", ""14 October 2013"", ""16 December 2013"", ""2 April 2013"", ""2013"", ""31 October 2013"", ""August 16, 2013"", ""August 2013"", ""July 2013"", ""June 2013"", ""November 2013"", ""November 8, 2013"", ""October 25, 2013""]"
Philippines AirAsia::ORG,Philippines AirAsia,ORG,"[""Philippines AirAsia""]"
Asian Spirit::ORG,Asian Spirit,ORG,"[""Asian Spirit""]"
Civil Aviation Authority of the Philippines::ORG,Civil Aviation Authority of the Philippines,ORG,"[""CAAP"", ""Civil Aviation Authority of the Philippines""]"
Zest Air::ORG,Zest Air,ORG,"[""Zest Air""]"
a year::NUM,a year,NUM,"[""a year""]"
AirAsia::ORG,AirAsia,ORG,"[""AirAsia""]"
AirAsia Philippines::ORG,AirAsia Philippines,ORG,"[""AirAsia Philippines""]"
January 2016::TIME,January 2016,TIME,"[""January 2016"", ""March 2016""]"
Delphinus delphis::MISC,Delphinus delphis,MISC,"[""Delphinus delphis"", ""short - beaked common dolphin""]"
D. capensis::MISC,D. capensis,MISC,"[""D. capensis""]"
Indian Ocean::LOC,Indian Ocean,LOC,"[""Indian Ocean""]"
Atlantic::LOC,Atlantic,LOC,"[""Atlantic"", ""Atlantic Basin""]"
Pacific Oceans::LOC,Pacific Oceans,LOC,"[""Pacific Oceans""]"
Caribbean::LOC,Caribbean,LOC,"[""Caribbean""]"
Mediterranean Seas::LOC,Mediterranean Seas,LOC,"[""Mediterranean Seas""]"
Black Sea::LOC,Black Sea,LOC,"[""Black Sea""]"
Gulf of Mexico::LOC,Gulf of Mexico,LOC,"[""Gulf of Mexico""]"
Red Sea::LOC,Red Sea,LOC,"[""Red Sea""]"
Norwegian::LOC,Norwegian,LOC,"[""Norway"", ""Norwegian"", ""Norwegians""]"
Arctic::LOC,Arctic,LOC,"[""Arctic""]"
Bergqvist::PER,Bergqvist,PER,"[""Bergqvist"", ""Niklas Bergqvist""]"
6 October 1962::TIME,6 October 1962,TIME,"[""6 October 1962""]"
Stockholm::LOC,Stockholm,LOC,"[""Stockholm""]"
Swedish::LOC,Swedish,LOC,"[""Sweden"", ""Swedish""]"
1984::TIME,1984,TIME,"[""1984"", ""November 1984""]"
Synthpop::MISC,Synthpop,MISC,"[""Synthpop""]"
Shanghai::ORG,Shanghai,ORG,"[""Shanghai""]"
two::NUM,two,NUM,"[""Two"", ""two""]"
Ballerina::MISC,Ballerina,MISC,"[""Ballerina""]"
Europe::LOC,Europe,LOC,"[""Europe"", ""European""]"
Kee Marcello::PER,Kee Marcello,PER,"[""Kee Marcello""]"
Harpo::PER,Harpo,PER,"[""Harpo""]"
1987::TIME,1987,TIME,"[""1987""]"
2015::TIME,2015,TIME,"[""2015"", ""8 January 2015"", ""9 January 2015"", ""Christmas Day 2015"", ""December 2015"", ""February 20, 2015"", ""June 2, 2015""]"
Tracks of Sweden::MISC,Tracks of Sweden,MISC,"[""Tracks of Sweden""]"
Simon Johansson::PER,Simon Johansson,PER,"[""Simon Johansson""]"
Pacific Fair::LOC,Pacific Fair,LOC,"[""Pacific Fair""]"
Broadbeach Waters::LOC,Broadbeach Waters,LOC,"[""Broadbeach Waters""]"
Gold Coast::LOC,Gold Coast,LOC,"[""Gold Coast""]"
Queensland::LOC,Queensland,LOC,"[""Queensland""]"
Australia::LOC,Australia,LOC,"[""Australia"", ""Australian"", ""Australian Outback"", ""State""]"
2006::TIME,2006,TIME,"[""2006"", ""August 2006"", ""July 2006"", ""May 2006"", ""September 2006""]"
Hooker Retail Developments::ORG,Hooker Retail Developments,ORG,"[""Hooker Retail Developments""]"
1977::TIME,1977,TIME,"[""1977"", ""January 1977"", ""March 1977""]"
96::NUM,96,NUM,"[""96""]"
300::NUM,300,NUM,"[""300""]"
four::NUM,four,NUM,"[""Four"", ""four""]"
January 2014::TIME,January 2014,TIME,"[""January 2014""]"
Myer::ORG,Myer,ORG,"[""Myer""]"
Kmart::ORG,Kmart,ORG,"[""Kmart""]"
Target::ORG,Target,ORG,"[""Target""]"
Coles::ORG,Coles,ORG,"[""Coles""]"
Toys ' R ' Us::ORG,Toys ' R ' Us,ORG,"[""Toys ' R ' Us""]"
Daimaru::ORG,Daimaru,ORG,"[""Daimaru""]"
Australian::LOC,Australian,LOC,"[""Australia"", ""Australian""]"
12-screen::NUM,12-screen,NUM,"[""12-screen""]"
Birch Carroll and Coyle Cinema::ORG,Birch Carroll and Coyle Cinema,ORG,"[""Birch Carroll and Coyle Cinema""]"
Event Cinemas::ORG,Event Cinemas,ORG,"[""Event Cinemas""]"
late 2015::TIME,late 2015,TIME,"[""late 2015""]"
Surfside Buslines::ORG,Surfside Buslines,ORG,"[""Surfside Buslines""]"
Broadbeach South station::LOC,Broadbeach South station,LOC,"[""Broadbeach South station""]"
Star Gold Coast::LOC,Star Gold Coast,LOC,"[""Star Gold Coast""]"
